file;seed;initial examples;precision;recall;number iterations;not found;total values;time in sec
Driver2Champioships.csv; -46178790;3;0.0;0.0;-999;14;49;14.989300966262817
Driver2Champioships.csv; -46178790;5;0.0;0.0;-999;13;49;14.989300966262817
Driver2Champioships.csv; -46178790;10;0.0;0.0;-999;11;49;14.989300966262817
element2BP.csv; 1596146573;3;0.6923076923076923;0.6923076923076923;-999;0;43;17.020182132720947
element2BP.csv; 1596146573;5;0.7567567567567568;0.7567567567567568;-999;0;43;17.020182132720947
element2BP.csv; 1596146573;10;0.7878787878787878;0.7878787878787878;-999;0;43;17.020182132720947
element2symbol.csv; 1568346060;3;0.0;0.0;-999;103;111;53.650264739990234
element2symbol.csv; 1568346060;5;0.0;0.0;-999;101;111;53.650264739990234
element2symbol.csv; 1568346060;10;0.0;0.0;-999;96;111;53.650264739990234
ElementToBP.csv; -1436038386;3;0.8157894736842105;0.7948717948717948;-999;1;43;19.001516103744507
ElementToBP.csv; -1436038386;5;0.5945945945945946;0.5945945945945946;-999;0;43;19.001516103744507
ElementToBP.csv; -1436038386;10;0.9375;0.9375;-999;0;43;19.001516103744507
ElementToSymbol.csv; -1451303539;3;0.0;0.0;-999;103;111;50.84461951255798
ElementToSymbol.csv; -1451303539;5;0.0;0.0;-999;101;111;50.84461951255798
ElementToSymbol.csv; -1451303539;10;1.0;0.009900990099009901;-999;96;111;50.84461951255798
EnglishToGerman.csv; -364698185;3;1.0;0.2857142857142857;-999;5;11;13.100811243057251
EnglishToGerman.csv; -364698185;5;0.25;0.2;-999;1;11;13.100811243057251
EnglishToGerman.csv; -364698185;10;0.0;NaN;-999;0;11;13.100811243057251
fahrenheitToCelcius.csv;Timed out after 6 minutes.;10;360.20831274986267
FastFoodRestaurants.csv; -914183822;3;0.0;0.0;-999;10;97;2.9996392726898193
FastFoodRestaurants.csv; -914183822;5;0.0;0.0;-999;10;97;2.9996392726898193
FastFoodRestaurants.csv; -914183822;10;0.0;0.0;-999;10;97;2.9996392726898193
FractionsToDecimals.txt;Timed out after 6 minutes.;7;360.27312183380127
GameYear2Developer_UpTo2013.csv; -2020531586;3;0.0;0.0;-999;443;451;14.42027735710144
GameYear2Developer_UpTo2013.csv; -2020531586;5;0.7454545454545455;0.09276018099547512;-999;386;451;14.42027735710144
GameYear2Developer_UpTo2013.csv; -2020531586;10;0.8296703296703297;0.34553775743707094;-999;254;451;14.42027735710144
GregorianToHijri.csv;Timed out after 6 minutes.;11;360.04953503608704
HeadstateCountry.csv; -1409799231;3;0.0;0.0;-999;35;40;2.9421510696411133
HeadstateCountry.csv; -1409799231;5;0.0;0.0;-999;33;40;2.9421510696411133
HeadstateCountry.csv; -1409799231;10;0.0;0.0;-999;28;40;2.9421510696411133
HeadstateCountry2Year_upTo2012.csv; 1833049762;3;0.0;0.0;-999;35;40;8.556390523910522
HeadstateCountry2Year_upTo2012.csv; 1833049762;5;0.0;0.0;-999;33;40;8.556390523910522
HeadstateCountry2Year_upTo2012.csv; 1833049762;10;0.0;0.0;-999;28;40;8.556390523910522
HeadstateYear2Country_upTo2012 copy.csv; -1853272091;3;0.0;0.0;-999;35;40;9.105907201766968
HeadstateYear2Country_upTo2012 copy.csv; -1853272091;5;0.0;0.0;-999;33;40;9.105907201766968
HeadstateYear2Country_upTo2012 copy.csv; -1853272091;10;0.0;0.0;-999;28;40;9.105907201766968
HexCodeToRGB.csv; -782425655;3;0.0;0.0;-999;7;11;2.5779144763946533
HexCodeToRGB.csv; -782425655;5;0.0;0.0;-999;5;11;2.5779144763946533
HexCodeToRGB.csv; -782425655;10;0.0;NaN;-999;0;11;2.5779144763946533
