Year,Laureate,Field
2004,Linda B. Buck ,Physiology or Medicine
1954,Linus Carl Pauling ,Chemistry
1962,Linus Carl Pauling ,The Nobel Peace Prize
2010,Liu Xiaobo ,The Nobel Peace Prize
2012,Lloyd S. Shapley ,Economic Sciences
1957,Lord (Alexander R.) Todd ,Chemistry
1949,Lord (John) Boyd Orr of Brechin ,The Nobel Peace Prize
1904,Lord Rayleigh (John William Strutt) ,Physics
1970,Louis Eugène Félix Néel ,Physics
1998,Louis J. Ignarro ,Physiology or Medicine
1907,Louis Renault ,The Nobel Peace Prize
2008,Luc Montagnier ,Physiology or Medicine
1927,Ludwig Quidde ,The Nobel Peace Prize
1934,Luigi Pirandello ,Literature
1970,Luis F. Leloir ,Chemistry
1968,Luis Walter Alvarez ,Physics
1976,Mairead Corrigan ,The Nobel Peace Prize
2008,Makoto Kobayashi ,Physics
2014,Malala Yousafzai ,The Nobel Peace Prize
1967,Manfred Eigen ,Chemistry
1963,Maria Goeppert Mayer ,Physics
1903,"Marie Curie, née Sklodowska ",Physics
1911,"Marie Curie, née Sklodowska ",Chemistry
1995,Mario J. Molina ,Chemistry
2007,Mario R. Capecchi ,Physiology or Medicine
2010,Mario Vargas Llosa ,Literature
1968,Marshall W. Nirenberg ,Physiology or Medicine
2008,Martin Chalfie ,Chemistry
2013,Martin Karplus ,Chemistry
1995,Martin L. Perl ,Physics
1964,Martin Luther King Jr. ,The Nobel Peace Prize
1994,Martin Rodbell ,Physiology or Medicine
1999,Martinus J.G. Veltman ,Physics
2008,Martti Ahtisaari ,The Nobel Peace Prize
2002,Masatoshi Koshiba ,Physics
1988,Maurice Allais ,Economic Sciences
1962,Maurice Hugh Frederick Wilkins ,Physiology or Medicine
1954,Max Born ,Physics
1969,Max Delbrück ,Physiology or Medicine
1962,Max Ferdinand Perutz ,Chemistry
1918,Max Karl Ernst Ludwig Planck ,Physics
1951,Max Theiler ,Physiology or Medicine
1914,Max von Laue ,Physics
2014,May-Britt Moser ,Physiology or Medicine
1999,Médecins Sans Frontières ,The Nobel Peace Prize
1961,Melvin Calvin ,Chemistry
1988,Melvin Schwartz ,Physics
1978,Menachem Begin ,The Nobel Peace Prize
1990,Merton H. Miller ,Economic Sciences
2013,Michael Levitt ,Chemistry
1985,Michael S. Brown ,Physiology or Medicine
1993,Michael Smith ,Chemistry
1967,Miguel Angel Asturias ,Literature
1965,Mikhail Aleksandrovich Sholokhov ,Literature
1990,Mikhail Sergeyevich Gorbachev ,The Nobel Peace Prize
1976,Milton Friedman ,Economic Sciences
2012,Mo Yan ,Literature
1978,Mohamed Anwar al-Sadat ,The Nobel Peace Prize
2005,Mohamed ElBaradei ,The Nobel Peace Prize
1979,Mother Teresa ,The Nobel Peace Prize
2006,Muhammad Yunus ,The Nobel Peace Prize
1969,Murray Gell-Mann ,Physics
1997,Myron S. Scholes ,Economic Sciences
1991,Nadine Gordimer ,Literature
1988,Naguib Mahfouz ,Literature
2015,National Dialogue Quartet ,The Nobel Peace Prize
1966,Nelly Sachs ,Literature
1993,Nelson Mandela ,The Nobel Peace Prize
1931,Nicholas Murray Butler ,The Nobel Peace Prize
1981,Nicolaas Bloembergen ,Physics
1964,Nicolay Gennadiyevich Basov ,Physics
1922,Niels Henrik David Bohr ,Physics
1984,Niels K. Jerne ,Physiology or Medicine
1903,Niels Ryberg Finsen ,Physiology or Medicine
1973,Nikolaas Tinbergen ,Physiology or Medicine
1956,Nikolay Nikolaevich Semenov ,Chemistry
1912,Nils Gustaf Dalén ,Physics
1972,No Nobel Prize was awarded this year. The prize money for 1972 was allocated to the Main Fund.,The Nobel Peace Prize
1931,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,Physics
1916,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,Physics
1924,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,Chemistry
1919,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,Chemistry
1917,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,Chemistry
1916,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,Chemistry
1925,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,Physiology or Medicine
1921,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.,Physiology or Medicine
