game,release date,developer
Tony Hawk's Pro Skater 4,24/10/2002,Neversoft Entertainment
Tony Hawk's Underground,28/10/2003,Neversoft Entertainment
Little League Baseball,31/12/1969,NewKidCo
Tom and Jerry in War of the Whiskers,25/11/2003,NewKidCo LLC
NHL Hitz Pro,23/9/2003,Next Level Games
Animal Crossing,16/9/2002,Nintendo Co. Ltd
Luigi's Mansion,18/11/2001,Nintendo Co. Ltd
Mario Party 4,22/10/2002,Nintendo Co. Ltd
The Legend of Zelda: The Wind Waker,25/3/2003,Nintendo Co. Ltd
Super Mario Sunshine,27/8/2002,Nintendo Co. Ltd
Pikmin 2,30/8/2004,Nintendo Co. Ltd
The Legend of Zelda: Ocarina of Time / Master Quest (bonus disc,18/2/2003,Nintendo EAD
Super Mario Galaxy,13/11/2007,Nintendo EAD Tokyo
Donkey Kong Jungle Beat,14/3/2005,"Nintendo of America, Inc"
Mario Golf: Toadstool Tour,28/7/2003,"Nintendo of America, Inc"
Wave Race: Blue Storm,18/11/2001,Nintendo Software Technology Corporation
Judge Dredd: Dredd vs Death,28/2/2005,Not Specified
NBA Street,20/2/2002,"NuFX, Inc"
Dynasty Warriors Vol. 2,24/10/2006,Omega Force
Star Wars: The Clone Wars,29/10/2002,Pandemic Studios
Mission: Impossible -- Operation Surma,23/3/2004,"Paradigm Entertainment, Inc"
Peter Jackson's King Kong: The Official Game of the Movie,20/12/2005,Phoenix Interactive
Conflict: Desert Storm,24/4/2003,Pivotal Games Ltd
Diner Dash: Sizzle & Serve,22/5/2007,PlayFirst
Brunswick Pro Bowling,21/8/2007,Point of View
Smashing Drive,21/2/2002,"Point of View, Inc"
SpyHunter,13/3/2002,"Point of View, Inc"
NFL Blitz 20-02,21/3/2002,"Point of View, Inc"
Red Card 20-03,27/6/2002,"Point of View, Inc"
World Championship Poker Featuring Howard Lederer: All In,22/8/2006,"Point of View, Inc"
Patapon,26/2/2008,Pyramid (JP
Crash Clash Racing,20/9/2005,Radical Entertainment
Tetris Worlds,27/6/2002,Radical Entertainment
The Simpsons Road Rage,20/12/2001,Radical Entertainment
X-Men Legends II: Rise of Apocalypse,20/9/2005,Raven Software
X-Men Legends,21/9/2004,Raven Software
X-Men Legends II: Rise of Apocalypse,25/10/2005,Raven Software
Okami,15/4/2008,Ready At Dawn Studios
Okami,15/4/2008,Ready At Dawn Studios
Okami,15/4/2008,Ready At Dawn Studios
Okami,15/4/2008,Ready At Dawn Studios
Dead to Rights: Reckoning,28/6/2005,Rebellion
Tom Clancy's Ghost Recon 2,15/3/2005,"Red Storm Entertainment, Inc"
Tom Clancy's Rainbow Six: Lockdown,27/9/2005,"Red Storm Entertainment, Inc"
Metroid Prime 2: Echoes,18/11/2004,Retro Studios
Grand Theft Auto: Liberty City Stories,25/10/2005,Rockstar Leeds
Grand Theft Auto: Vice City Stories,31/10/2006,Rockstar Leeds
Cabela's Dangerous Hunts 2,15/11/2005,Sand Grain Studios
Rapala Trophies,22/8/2006,Sand Grain Studios
Scooby-Doo! Who's Watching Who,17/10/2006,Savage Entertainment
MLB 07: The Show,27/2/2007,SCE Studios San Diego
MediEvil Resurrection,13/9/2005,SCEE Cambridge Studios
World Tour Soccer,24/3/2005,SCEE Studio London
Sonic Gems Collection,16/8/2005,"Sega of America, Inc"
Sonic Rivals,21/11/2006,"Sega of America, Inc"
Amazing Island,25/8/2004,"Sega of America, Inc"
Virtua Tennis 3,28/3/2007,"Sega of America, Inc"
Shadow the Hedgehog,15/11/2005,Sega Studio USA
Tony Hawk's Underground 2: Remix,24/3/2005,"Shaba Games, Inc"
Enter the Matrix,15/5/2003,"Shiny Entertainment, Inc"
Eternal Darkness: Sanity's Requiem,24/6/2002,Silicon Knights
Mark Davis Pro Bass Challenge,20/9/2005,Sims
Pac-Man World Rally,22/8/2006,Smart Bomb Interactive
Pac-Man World Rally,22/8/2006,Smart Bomb Interactive
"SNK Arcade Classics, Vol. 1",29/4/2008,SNK
Metal Slug Anthology,20/2/2007,SNK Playmore Corporation
Sonic Adventure 2 Battle,13/2/2002,Sonic Team
Phantasy Star Online: Episodes I & II -- Plus,15/9/2004,Sonic Team
Sonic Adventure DX: Director's Cut,17/6/2003,Sonic Team
Puyo Pop Fever,23/7/2004,Sonic Team
Phantasy Star Online Episode I & II,30/10/2002,Sonic Team
Wipeout Pure,24/3/2005,"Sony Computer Entertainment America, Inc"
ATV Offroad Fury: Pro,26/10/2006,"Sony Computer Entertainment America, Inc"
NBA 07,26/9/2006,"Sony Computer Entertainment America, Inc. San Diego"
World Tour Soccer '06,27/6/2006,Sony Computer Entertainment Europe
Ape Escape Academy,17/1/2006,Sony Computer Entertainment Inc. (Japan
Untold Legends: Brotherhood of the Blade,24/3/2005,Sony Online Entertainment
ProStroke Golf: World Tour 2007,25/6/2007,SouthPeak Interactive
Call of Duty: Finest Hour,27/10/2004,Spark Unlimited
Crisis Core: Final Fantasy VII,25/3/2008,"Square Enix Co., Ltd"
Rocky,15/11/2002,Steel Monkeys
The Lord of the Rings: The Two Towers,31/12/2002,Stormfront Studios
OutRun 2006: Coast 2 Coast,25/4/2006,Sumo Digital
Spelling Challenges and More,25/9/2007,Supersonic Software
Dungeon Siege: Throne of Agony,31/10/2006,SuperVillain Studios
The Lord of the Rings: The Fellowship of the Ring,31/12/1969,Surreal Software
Metal Arms: Glitch in the System,20/11/2003,"Swingin' Ape Studios, Inc"
Space Invaders Extreme,17/6/2008,Taito
Taito Legends Power-Up,17/5/2007,Taito
Worms Blast,23/10/2002,Team 17
Worms: Open Warfare,23/3/2006,Team 17
NFL Street 2 Unleashed,24/3/2005,Team Fusion
NBA Street Showdown,25/4/2005,Team Fusion
MVP Baseball,17/5/2005,Team Fusion
Go! Go! Hypergrind,18/11/2003,Team Poponchi
Swingerz Golf,24/10/2002,Telenet Japan Co. Ltd
BloodRayne,16/10/2002,Terminal Reality
Alien Hominid,23/11/2004,The Behemoth
The Con,18/10/2005,Think and Feel Inc
"SpongeBob SquarePants: Lights, Camera, Pants",20/10/2005,THQ Studio Australia
The Incredibles,29/10/2004,"THQ, Inc"
NFL Street 3,14/11/2006,Tiburon
Madden NFL 08,14/8/2007,Tiburon
Madden NFL 08,14/8/2007,Tiburon
Madden NFL 2002,18/11/2001,"Tiburon Entertainment, Inc"
Zoids: Battle Legends,14/9/2004,Tomy
Madagascar,24/5/2005,Toys for Bob
LEGO Batman: The Videogame,23/9/2008,Traveller's Tales
Finding Nemo,14/5/2003,Traveller's Tales
WRC: World Rally Championship,18/4/2006,Traveller's Tales
Bionicle Heroes,14/11/2006,Traveller's Tales
LEGO Star Wars: The Video Game,25/10/2005,Traveller's Tales
"The Chronicles of Narnia: The Lion, the Witch, and the Wardrobe",15/11/2005,Traveller's Tales
Ikaruga,15/4/2003,Treasure
Spider-Man,17/4/2002,"Treyarch Invention, LLC"
Kelly Slater's Pro Surfer,18/9/2002,"Treyarch Invention, LLC"
Tom Clancy's Splinter Cell: Double Agent,24/10/2006,Ubisoft Entertainment
Rayman Arena,25/9/2002,Ubisoft Entertainment SA
Disney's Donald Duck: Goin' Quackers,27/3/2002,Ubisoft Entertainment SA
Disney's Tarzan: Untamed,16/11/2001,Ubisoft Montreal
Shaun White Snowboarding,16/11/2008,Ubisoft Montreal
Batman: Vengeance,18/11/2001,Ubisoft Montreal
Open Season,19/9/2006,Ubisoft Montreal
Tom Clancy's Splinter Cell: Essentials,21/3/2006,Ubisoft Montreal
XIII,25/11/2003,Ubisoft Montreal
The Sum of All Fears,15/1/2003,Ubisoft Shanghai
Star Wars: Jedi Knight II -- Jedi Outcast,15/11/2002,"Vicarious Visions, Inc"
Spider-Man 2,24/3/2005,"Vicarious Visions, Inc"
Marvel Trading Card Game,27/2/2007,Vicious Cycle
Dead Head Fred,28/8/2007,"Vicious Cycle Software, Inc"
Justice League Heroes,28/11/2006,"Visual Applications, Inc"
NBA 2K2,20/3/2002,Visual Concepts
NFL 2K3,21/8/2002,Visual Concepts
NBA 2K3,26/11/2002,Visual Concepts
World Poker Tour,18/4/2006,Visual Concepts
F1 2002,25/6/2002,Visual Sciences Ltd
Spirits & Spells,24/9/2003,Wanadoo Edition
Animaniacs: The Great Edgar Hunt,20/9/2005,Warthog
Looney Tunes: Back in Action,24/11/2003,Warthog
Rally Championship,15/7/2003,Warthog
Home Run King,20/3/2002,WOW Entertainment
Hello Kitty: Roller Rescue,16/8/2005,XPEC Entertainment Inc
WWE SmackDown vs. Raw 2006,15/12/2005,Yuke's Co. Ltd
WWE Day of Reckoning 2,30/8/2005,Yuke's Co. Ltd
WWE: Day of Reckoning,31/8/2004,Yuke's Co. Ltd
X-Men: The Official Game,16/5/2006,"Z-AXIS, Ltd"
Dave Mirra Freestyle BMX 2,17/11/2001,"Z-AXIS, Ltd"
