Game,Year,Developer
The Expendables 2: The Video Game,2012,Ubisoft
The Hip Hop Dance Experience,2012,Ubisoft
Tom Clancy's Ghost Recon: Future Soldier,2012,Ubisoft
Tom Clancy's Ghost Recon Online,2012,Ubisoft
Trials Evolution,2012,Ubisoft
Your Shape 2012,2012,Ubisoft
ZombiU,2012,Ubisoft
Assassin's Creed IV: Black Flag,2013,Ubisoft
Assassin's Creed: Freedom Cry,2013,Ubisoft
Call of Juarez: Gunslinger,2013,Ubisoft
Far Cry 3: Blood Dragon,2013,Ubisoft
Just Dance 2014,2013,Ubisoft
The Mighty Quest for Epic Loot,2013,Ubisoft
Panzer General Online,2013,Ubisoft
Rayman Legends,2013,Ubisoft
ShootMania Storm,2013,Ubisoft
Spartacus Legends,2013,Ubisoft
Tom Clancy's Splinter Cell: Blacklist,2013,Ubisoft
The Smurfs 2,2013,Ubisoft
Trials Evolution: Gold Edition,2013,Ubisoft
Your Shape: Fitness Evolved 2013,2013,Ubisoft
Angry Birds,2009,Rovio
Angry Birds Seasons,2010,Rovio
Angry Birds Rio,2011,Rovio
Angry Birds Space,2012,Rovio
Bad Piggies,2012,Rovio
Angry Birds Star Wars,2012,Rovio
Angry Birds Friends,2013,Rovio
Angry Birds Star Wars II,2013,Rovio
Angry Birds Go!,2013,Rovio
Minecraft,2011,Mojang
Grand Theft Autoÿseries,1997,Rockstar Games
Monster Truck Madness 64,1998,Rockstar Games
Wild Metal Country,1999,Rockstar Games
Thrasher: Skate and Destroy,1999,Rockstar Games
Midnight Clubÿseries,2000,Rockstar Games
Smuggler's Runÿseries,2000,Rockstar Games
Max Payneÿseries,2001,Rockstar Games
Oni,2001,Rockstar Games
State of Emergency,2002,Rockstar Games
Manhuntÿseries,2003,Rockstar Games
Red Deadÿseries,2004,Rockstar Games
The Warriors,2005,Rockstar Games
Rockstar Games presents Table Tennis,2006,Rockstar Games
Bully,2006,Rockstar Games
Beaterator,2009,Rockstar Games
L.A. Noire,2011,Rockstar Games
Star Wars: Knights of the Old Republic II _ The Sith Lords,2004,Obsidian Entertainment
Neverwinter Nights 2,2006,Obsidian Entertainment
Neverwinter Nights 2: Mask of the Betrayer,2007,Obsidian Entertainment
Neverwinter Nights 2: Storm of Zehir,2008,Obsidian Entertainment
Alpha Protocol,2010,Obsidian Entertainment
Fallout: New Vegas,2010,Obsidian Entertainment
Dungeon Siege III,2011,Obsidian Entertainment
